Unit,year,D1,D2,D3,C1,C2,C3,gini,valid_d1
Household,2007,0.2636389311351456,0.12689796295739483,0.07586341578879008,0.3910866654416205,0.2548954686129491,0.19199625848333168,0.47272213772970884,0.47272213772970884
Household,2009,0.263697577083879,0.12751264947539104,0.07652812153701766,0.3929514292332307,0.25850770429870584,0.19649258223497318,0.47260484583224205,0.47260484583224205
Household,2011,0.2608959894236154,0.12369568858833035,0.07299752499873446,0.3825670111219721,0.2433420433967138,0.17946953221257367,0.47820802115276917,0.47820802115276917
Household,2013,0.257514757952396,0.12128068707795445,0.07127109253060948,0.3759250878796237,0.23682065985445655,0.17330995916475306,0.48497048409520804,0.48497048409520804
Household,2015,0.26189517822919417,0.12335866826341978,0.0725696692026624,0.3834603357195712,0.2431303149807536,0.179657470076001,0.47620964354161166,0.47620964354161166
Household,2017,0.2643402147824571,0.12636341957454286,0.0752026635444221,0.3892429028659029,0.2498053761668932,0.18516293488852587,0.47131957043508577,0.47131957043508577
Household,2019,0.2608925636622343,0.12337934448566398,0.07273165659893069,0.3794782722258299,0.23717141712718848,0.17068810896228662,0.4782148726755314,0.4782148726755314
Household,2021,0.25127831422302965,0.11623711508578921,0.06722571125385948,0.3563124939605862,0.21006835947511235,0.1407468665839831,0.4974433715539407,0.4974433715539407
Clan,1969,0.34170886813937684,0.18714508742613079,0.12329797804777634,0.5608940804492275,0.4383704246197018,0.3768380057903561,0.3165822637212463,0.3165822637212463
Clan,1970,0.34807727202586825,0.19250150470790153,0.1272257367891425,0.5726931777284625,0.4492318114051895,0.38509546004593104,0.3038454559482635,0.3038454559482635
Clan,1971,0.34598940584767385,0.1899383490720966,0.12472352223712743,0.5675409627990511,0.4431031139027542,0.3797471472459863,0.3080211883046523,0.3080211883046523
Clan,1972,0.34441970557587454,0.1901805824803858,0.12586326015441013,0.5697391317131857,0.45063885227462175,0.39068740469135543,0.31116058884825093,0.31116058884825093
Clan,1973,0.3482081092932099,0.19278887693632737,0.12767577879627162,0.5768240118121696,0.4572318050379197,0.3966643921523877,0.3035837814135802,0.3035837814135802
Clan,1974,0.34499395803413285,0.1899632774608199,0.12547658245188925,0.569075506612518,0.4481630971567698,0.38729972954392444,0.3100120839317343,0.3100120839317343
Clan,1975,0.34138440309347146,0.18736242666770436,0.12365415185613446,0.5622865060108,0.4418042058346584,0.38166266875043015,0.3172311938130571,0.3172311938130571
Clan,1976,0.3383523811575014,0.18496207783372787,0.12176028212731196,0.5555088592974348,0.4343129562798655,0.37402631766920685,0.32329523768499724,0.32329523768499724
Clan,1977,0.3317511174750787,0.17837498778663724,0.11584249100501678,0.5363701295692083,0.4092380241882604,0.346294554602434,0.33649776504984263,0.33649776504984263
Clan,1978,0.3354868000935998,0.1816128975758911,0.11850103716333212,0.5449518715719879,0.4189301429567765,0.35597586807132825,0.32902639981280035,0.32902639981280035
Clan,1979,0.33505317627902437,0.1808558006983911,0.1177578996563666,0.5431466105255119,0.4161868684929755,0.3529966016918763,0.32989364744195127,0.32989364744195127
Clan,1980,0.3333028857831952,0.1800105582245405,0.11732162233580576,0.5411758006204771,0.4157458296745636,0.3536029071750358,0.33339422843360955,0.33339422843360955
Clan,1981,0.3272481840049069,0.17632987830637403,0.11469626418123041,0.5298358487553165,0.4051753295008195,0.34326817679166755,0.3455036319901862,0.3455036319901862
Clan,1982,0.32648029867117473,0.1748207693183805,0.11325809855068404,0.5268454419722036,0.4007302866020576,0.3388642759255146,0.34703940265765054,0.34703940265765054
Clan,1983,0.3236917567691115,0.1720117442154498,0.11088006577167897,0.519893967054364,0.39240442057050356,0.3305890145325826,0.352616486461777,0.352616486461777
Clan,1984,0.31864422959987626,0.16747562732147667,0.10707350990988553,0.5076110309579082,0.3779336027160642,0.3156869630918806,0.3627115408002475,0.3627115408002475
Clan,1985,0.3170409023666587,0.16625964165565116,0.10604082176485696,0.5034428876251696,0.37280397051702097,0.30981649329205374,0.36591819526668257,0.36591819526668257
Clan,1986,0.31597230569105866,0.16567276771920575,0.10570031703236675,0.5015214310767353,0.37109825077135383,0.3081382245782227,0.3680553886178827,0.3680553886178827
Clan,1987,0.31529626754441475,0.16551007728121575,0.1057958172667607,0.5010110780633553,0.371429621037882,0.30887931563499965,0.3694074649111705,0.3694074649111705
Clan,1988,0.3116332917135997,0.16348394079170964,0.1045102285514774,0.4951412146927401,0.36701584595828135,0.3052978577498576,0.3767334165728006,0.3767334165728006
Clan,1989,0.3097272900613943,0.16217289611625302,0.10356493278775472,0.4915277226389485,0.36360086515510853,0.3021419535582828,0.38054541987721135,0.38054541987721135
Clan,1990,0.30812377427739,0.16088079696482532,0.10259797591582379,0.48803415493971697,0.35982076132465474,0.29840994653974523,0.38375245144521997,0.38375245144521997
Clan,1991,0.30865330423469256,0.1609849533440417,0.10261798402439501,0.48822916630749463,0.3591517241456049,0.29725015620234574,0.3826933915306149,0.3826933915306149
Clan,1992,0.30700097364530127,0.16036751299920485,0.10221635872765605,0.48534706316108,0.356692179031558,0.29448699904852904,0.38599805270939747,0.38599805270939747
Clan,1993,0.3052615495595115,0.1581541793723527,0.10043042455707757,0.4806588485604042,0.35079459800178575,0.2889606279441503,0.389476900880977,0.389476900880977
Clan,1994,0.29653402005983814,0.1514818656721656,0.09465941344930025,0.44727327292368735,0.3014785057276979,0.22499496008329833,0.4069319598803237,0.4069319598803237
Clan,1995,0.29934902016756676,0.15426869959748615,0.09741992007495162,0.46869994764187056,0.3387018549486073,0.27664973302668294,0.4013019596648665,0.4013019596648665
Clan,1996,0.3010887570685882,0.15544249033122473,0.09832387613508108,0.47228610850841946,0.34239470287966167,0.2804283188226566,0.39782248586282365,0.39782248586282365
Clan,1997,0.301262700406847,0.15554829205062037,0.09854232648452213,0.4735209332098223,0.3445164656059504,0.2834522603329952,0.397474599186306,0.397474599186306
Clan,1999,0.2952802856485527,0.1511729293472585,0.0952156352087764,0.46108917783335807,0.3316177843696111,0.2706672825335287,0.4094394287028946,0.4094394287028946
Clan,2001,0.2883115170746636,0.14685496273070836,0.0924238733430997,0.450481912262526,0.3243407903757251,0.2662287414675259,0.42337696585067275,0.42337696585067275
Clan,2003,0.294119128278827,0.14953448613104023,0.09348313327026105,0.44640958431144423,0.3045809120652355,0.23256963890129378,0.41176174344234595,0.41176174344234595
Clan,2005,0.2908849304708364,0.14915112885148404,0.09416934976671142,0.4559901513562157,0.3302104417707585,0.271588969378911,0.4182301390583272,0.4182301390583272
Clan,2007,0.2920103813736393,0.14871880186314373,0.09340761182505652,0.45611138070093327,0.32820199865458677,0.2692247951871653,0.41597923725272135,0.41597923725272135
Clan,2009,0.2855641127201004,0.14452867576839123,0.09057714710472275,0.44456612377693466,0.3180040221136687,0.2602130195179153,0.4288717745597992,0.4288717745597992
Clan,2011,0.2831951537239691,0.14163314881683237,0.08784672979960914,0.43637313540263156,0.3063559633573241,0.24708422181073758,0.43360969255206183,0.43360969255206183
Clan,2013,0.28359139197843597,0.14221813224627533,0.0883568076886274,0.4376573273700835,0.30813187078329574,0.24887060780553072,0.43281721604312806,0.43281721604312806
Clan,2015,0.28650475903560113,0.14329252093904118,0.08886130269949355,0.4410369278158795,0.30906433756055535,0.2486577249322715,0.42699048192879774,0.42699048192879774
Clan,2017,0.28481744298890854,0.14313579321419898,0.08925091237121312,0.4407622863724326,0.3118896867670483,0.25313084032927363,0.4303651140221829,0.4303651140221829
Clan,2019,0.2825389683312216,0.14101812908323141,0.08751169684363591,0.43479035208120376,0.3045027674999658,0.24522695762510094,0.4349220633375568,0.4349220633375568
Clan,2021,0.2748287029472745,0.13563214061654616,0.0834638119469896,0.4170024653735936,0.2843475248526377,0.22307307635413792,0.45034259410545097,0.45034259410545097
